Artist,Title,Found on Spotify?,Spotify URI,Corrections
Loscil,Two Chambers,Yes,spotify:track:442mGdH9pCBKByOuC6z0V5,
Josiah Steinbrick,"Please, Sing A Little Longer",Yes,spotify:track:2uxw9rXMEqMwwG6xvoRzBk,
Lee Noble,Breath Jetted in Vapor (I),Yes,,
Tim Hecker,Monotony II,Yes,spotify:track:4tdfBokMlIWfvrJMJR8wEC,
Elina Bolshenkova,On Hold,Yes,,
"Pepo Galán, Benoit Pioulard",Forty Seconds,Yes,spotify:track:2oMxBBrPGsPkOG8z4Un1PE,
April Magazine,Brighter,Yes,spotify:track:4yNAvVWyqF9jj0vtuo9lx1,
Rat Heart Ensemble,Liar’s Eyes,Yes,,
Hydromedusae,Lands,Yes,spotify:track:4h9tj3SicYUs9MYT0GRdld,
Abandoned Bees,Past And Present,Yes,spotify:track:1jsxz1AHTl2ubxmSh3qg16,
Unperson,Spiritual™,Yes,spotify:track:2xEpSxtCAye2vyCA6Ck05j,
µ-Ziq,Éire,Yes,spotify:track:5yQ0f3JZgSHcdggQ3di3UA,
Pan American,Quarry A,Yes,spotify:track:3JfHnrrVVZwFuhdVPR9PBn,
Supplement,Revisioned,Yes,,
sleepdial,exo,Yes,spotify:track:6UQs2kTZVrsAuGbJygH5eI,
Avalon Kalin,Laughter Music,Yes,,
"Jah Shaka, Max Romeo",Numberless Dub,Yes,spotify:track:3myLF1yWYl2tSUzlNV7nhL,
Traktor 9000,So.weit,Yes,spotify:track:31AmfOwvbEQhWg0rr42jFP,
Octave One,Fifteenthirteen,Yes,,
Lee Perry Vs Moody Boyz,Broadcaster Version,Yes,,
Prince Jazzbo,Good Memories,Yes,spotify:track:1POCnAI3S0lFWCUUfvCzHR,
Pan American,Psi Performer Remix,Yes,,
Mad Professor,Pirates Of The Airwaves,Yes,spotify:track:4nC1gVbKUnKJXjB3wD9PsC,
Arovane,Parf,Yes,,
"Model 500, Moritz",Starlight (Moritz Mix),Yes,,
Prince Fari,Psalm 49,Yes,,
African Head Charge,Healing Father,Yes,spotify:track:2210nYLP8m5hfwflCz47j3,
Jeff Mills,Solarized,Yes,,
King Tuibby,Dub To The Rescue,Yes,,
Pan•American,To Crato,Yes,,
Midori Hirano,White Sands,Yes,spotify:track:4vL4NZVfC3SHBIo76qZLqg,
Taylor Deupree,Everything’s Gone Grey,Yes,spotify:track:2RIaRS6ntosnSOq8i9fqhQ,
Gadi Sassoon,Black Hole Fanfare,Yes,spotify:track:1TlO35DlEBCOdvAwaLy52g,
Tim Hecker,Harmony In Blue I,Yes,spotify:track:000xQBsBOXGbHzbOwWsTua,
Penelope Trappes,Red Yellow (Mother's Blood Version),Yes,spotify:track:5A2ZIDm0TqUUH6wXHZrzP2,
Esau,Blue Wandering,Yes,,
The Bug,Black Version,Yes,spotify:track:7qERQkHhpDj4eB7X4ZHVyl,
Celer,Swarms Of Orange,Yes,spotify:track:6ABdwd3nGKveejHb4cJKWn,
Jonnine,Red Stalks,Yes,spotify:track:6ifZsy39Oeen5ArbmxeEKf,
