Artist,Title,Found on Spotify?,Spotify URI,Corrections
Sunny & The Sunliners,"Smile Now, Cry Later",Unknown,,
Sunny & The Sunliners,Put Me In Jail,Unknown,,
Sunny & The Sunliners,My Dream,Unknown,,
Sunny & The Sunliners,Outside Looking In,Unknown,,
Sunny & The Sunliners,When My Baby Cries,Unknown,,
Sunny & The Sunliners,Vestida De Blanco,Unknown,,
Sunny & The Sunliners,Our Day Will Come,Unknown,,
Sunny & The Sunliners,Rain Makes Me Blue,Unknown,,
Sunny & The Sunliners,I Have No One,Unknown,,
Sunny & The Sunliners,The Very Thought Of You,Unknown,,
Sunny & The Sunliners,Let Me Love You,Unknown,,
Sunny & The Sunliners,Baby I Apologize,Unknown,,
Sunny & The Sunliners,Wonderful Girl,Unknown,,
Sunny & The Sunliners,Cien Anos,Unknown,,
Sunny & The Sunliners,Asi Se Hace,Unknown,,
Sunny And The Sunliners,Botella Envenenada,Unknown,,
Sunny & The Sunliners,Sunshine Girl,Unknown,,
Sunny & The Sunliners,Sharing You,Unknown,,
Toña La Negra,Veracruz,Unknown,,
Julio Jaramillo,Pasion,Unknown,,
Leonardo Paniagua,Mi Secreto,Unknown,,
Los Panchos,Me Voy P'al Pueblo,Unknown,,
José José,Una Mañana,Unknown,,
Lucho Gatica,Creí,Unknown,,
Javier Solís,A La Orilla Del Mar,Unknown,,
Toña La Negra,Noche De Luna,Unknown,,
Sonora Matancera,Oyeme Mamá,Unknown,,
Sunny & The Sunliners,Asi Se Hace,Unknown,,
