Artist,Title,Found on Spotify?,Spotify URI,Corrections
Stephen Coughlin,Mount Vision,Unknown,,
Bobby Brown,My Hawaiian Home,Unknown,,
John Campbell,Sunrise,Unknown,,
Nigel Horton,Carry On,Unknown,,
Alan James Eastwood,Lotus Child,Unknown,,
Exil Harmony,Ne M’oubliez Pas,Unknown,,
Madras Express,Age Tendre,Unknown,,
Motherlode,When I Die,Unknown,,
Rio Grande,Nice And Easy,Unknown,,
Eggs Over Easy,Face Down In The Meadow,Unknown,,
Billy Nicholls,Kew,Unknown,,
Barry Blue,Rosetta Stone,Unknown,,
Ramases,Glass Top Coffin,Unknown,,
Hapshash And The Coloured Coat,The New Messiah Coming 1985,Unknown,,
Doug Ashdown,I've Come To Save Your World (Mother Love),Unknown,,
Barclay James Harvest,The Iron Maiden,Unknown,,
Mike Heron,Flowers Of The Forest,Unknown,,
Jon Betmead,Marie Elene,Unknown,,
Les Baxter,The Ancient Galleon,Unknown,,
Rosy Greca,Imensidão,Unknown,,
Sue Downer & Arthur Hendrie,Do You Really Mean It?,Unknown,,
"Stan Sulzmann, Tony Hymas",Arrival,Unknown,,
"Colin Wilkie, Shirley Hart, Albert Mangelsdorff, Joki Freund",Fourth Flight,Unknown,,
Joki Freund Jazztett,From Time To Time,Unknown,,
Walsall Youth Jazz Orchestra,Mixolydian Soul Frog,Unknown,,
Sunflower Crew,Everyman,Unknown,,
Sylvia Moore,Olorum Ma Ja Yarawa,Unknown,,
