Artist,Title,Found on Spotify?,Spotify URI,Corrections
Malibu,So Far Out Of Love,Unknown,,
Two Heavens,United States Of Europe,Unknown,,
Radiant Futur,Life Amplifier’s Modulation,Unknown,,
Two Heavens,I Want To Live 4 Ever,Unknown,,
6lack,Playin House (Pt.1 Endel Sleep Soundscape),Unknown,,
Pat_16120,Crawl,Unknown,,
Caterina Barbieri,Perenial Fantas,Unknown,,
Final Fantasy X,At Zanarkand,Unknown,,
Beach House,On The Sea,Unknown,,
Frank Watkinson,OMH,Unknown,,
Vangelis,Monastery Of La Rabida,Unknown,,
Beach House,10 Mile Stereo,Unknown,,
The The,This Is The Day,Unknown,,
Cyril Hahn,Say My Name,Unknown,,
William Ørbit,Ogive Number 1,Unknown,,
Fredo Viola,The Sad Song,Unknown,,
Carter Burwell,Bella's Lullaby,Unknown,,
"Timbaland, OneRepublic",Apologize,Unknown,,
Quartermaster,Vad Ska Jag Göra Nu?,Unknown,,
Baaba Maal,Dunya Salam,Unknown,,
Stella Explorer,Mindgames,Unknown,,
Lorn,Timesink,Unknown,,
Elite Gymnastics,So Close To Paradise,Unknown,,
The Veronicas,Untouched,Unknown,,
All Saints,Pure Shores,Unknown,,
Arome,Hands Up!,Unknown,,
Faithless,Addictive,Unknown,,
Grimes,Realiti,Unknown,,
Fleeting Joys,I Want More Life,Unknown,,
"Rick Ross, Drake, French Montana",Stay Schemin,Unknown,,
Audien,Keep This Memory (Original Mix),Unknown,,
Avicii,Heaven,Unknown,,
Grimes,Butterfly,Unknown,,
Tim Story,Hidden Country,Unknown,,
Salvia Plath,Dream,Unknown,,
Boards Of Canada,Hi Scores,Unknown,,
Meshuggah,Stifled,Unknown,,
Title Fight,Head In The Ceiling Fan,Unknown,,
Midwife,Reason,Unknown,,
Alex G,Casey’s Walk,Unknown,,
Trauma Ray,Spinning,Unknown,,
"Oneothrix Point Never, (Sandy) Alex G",Babylon,Unknown,,
ML Buch,Mirror Bridge ,Unknown,,
Alessandro Cortini,Scappa,Unknown,,
Pat_16120,Adversity (Guitar),Unknown,,
Lana Del Rey,National Anthem,Unknown,,
Soul Whirling Somewhere,Diffusing On The Surface,Unknown,,
Dj Missoni,Two Heavens,Unknown,,
Kointähti,Hearth,Unknown,,
Cedric Madden,Glitter (feat. Anima),Unknown,,
Tink,When It Rains,Unknown,,
Angelita,Gospel Pass Demo,Unknown,,
Tastexperience,Skylines X Tantrix,Unknown,,
Ian Van Dahl,Waiting 4 You,Unknown,,
Lasgo,Cloud Surfers,Unknown,,
"oqbqbo, Scandinavian Star",Free Fall,Unknown,,
Inef Coupe,Oil + Water,Unknown,,
A.R. Kane,Butterfly Collector,Unknown,,
Soul Whirling Somewhere,Unsleep,Unknown,,
Achilea,Prelude,Unknown,,
Track 10,Pumper,Unknown,,
Evian Christ,Run Boys Run,Unknown,,
Tim Hecker,Without Borders,Unknown,,
"My Head Is Empty, Miranda Rain",A Way Out,Unknown,,
Leama & Moor,Shades Of Yellow,Unknown,,
Stereophonic Sound,Journey Into Sound (Club Mix),Unknown,,
"FSOL, High Contrast",Papua New Guinea (Remix),Unknown,,
Lenny Ibizarre,The Aoen,Unknown,,
"Gouryella, Yoji Biomehanika",Ligaya (Yoji Biomehanika Remix),Unknown,,
Tori Amos,Losing My Religion,Unknown,,
"Bon Iver, St. Vincent",Rosyln,Unknown,,
Burial,Rival Dealer,Unknown,,
"Cluster, Eno",Schöne Hände,Unknown,,
Gia Margaret,For Zoya in China,Unknown,,
The Postal Service,Such Great Heights,Unknown,,
In My Talons,Can't Sleep Without You,Unknown,,
"Mirco de Govia, Ronski Speed",Asarja (Ronski Speed Mix),Unknown,,
Glenn Morrison,Contact,Unknown,,
Balas De Agua,Holding Her Hand,Unknown,,
Ed Sheeran,Bad Habits,Unknown,,
Yung Sherman,IDC (Evian Christ Remix),Unknown,,
Flawed Mangoes,Killswitch Lullaby,Unknown,,
Billy Eilish,When The Party's Over,Unknown,,
Avicii,Silhouettes (Original Mix),Unknown,,
Rival Consoles,The Fade,Unknown,,
Leadwave,Memories,Unknown,,
Dj Something,Intro,Unknown,,
Bochum Welt,G1 (Ambient Mix),Unknown,,
Torus,Ordinary Twilight,Unknown,,
Vangelis,Desolation Path,Unknown,,
Toys Soundtrack,The Closing Of The Year,Unknown,,
Oklou,La Nuit,Unknown,,
Merely,Tangerine Skies,Unknown,,
Motorcycle,As The Rush Comes (Hamptons Chills Remix),Unknown,,
Malibu,One Life,Unknown,,
Gud,Fuck You All I’m Looking For Something,Unknown,,
HAJJ,Life as a Death Ritual,Unknown,,
Seretide,Silhouettes,Unknown,,
Valet,Unreleased,Unknown,,
Sunny Lax,Enceladus (Original Mix),Unknown,,
"Kaskade, Deadmau5",Move For Me (Radio Edit),Unknown,,
Unknown Artist,One Touch (Tranceparty Archive),Unknown,,
hiræth,abyss,Unknown,,
Unknown Artist,Windows 95 Startup Sound,Unknown,,
Geko,Soul Train,Unknown,,
The Blizzard,Kalopsia (Original Mix),Unknown,,
Sligo,Aurora (DJ IBON Remix),Unknown,,
Dj Semitone,Sunset Music 2,Unknown,,
SUAVETOR,CHRYSANTHEMUMS,Unknown,,
Pavel Milyakov,Main Loop,Unknown,,
"Judge Jules, Marcus Schössow",The Greater Good (Marcus Schössow Remix),Unknown,,
Iva Peralta,Unreleased,Unknown,,
Andain,Beautiful Things,Unknown,,
Sunglasses Kid,Meanwhile In Grosse Pointe,Unknown,,
Chromatics,Night Drive,Unknown,,
Chromatics,Cherry,Unknown,,
Analog Mannequin,Milk Cassette X,Unknown,,
Enya,Less Than A Pearl,Unknown,,
Dogzilla,Your Eyes (Original Mix),Unknown,,
V Chads,Hyperspeed (Sport Dj Edit),Unknown,,
Torus,Anything Your Heart Desires,Unknown,,
Hyaketekehatkeha0345,Kick,Unknown,,
Malibu,Cheirosa '94,Unknown,,
"Exael, Arad Acid",Upward Spiral,Unknown,,
"Art Of Trance, Push",Madagascar (Push Remix),Unknown,,
CJ Bolland,Camargue (Live At Universe),Unknown,,
Atlantis,Fiji,Unknown,,
"Sasha, Emerson",Scorchio (Full Length Version),Unknown,,
Jody Barr,Eleanor (Extended Mix),Unknown,,
"Gigi Masin, Alessandro Monti",Stella Maris,Unknown,,
"Jan Johnston, Serge Devant, Benz & MD",Transparent (Benz & MD's Aurium Remix),Unknown,,
Yawning Portal,Clearing,Unknown,,
Luminary,Believe,Unknown,,
Basic Channel,Radiance II,Unknown,,
Mauro Picotto,Lizard,Unknown,,
Giuseppe Ielasi,1,Unknown,,
Raum,Restoration,Unknown,,
Romance,I Am Trying To Break Your Heart (Obey),Unknown,,
Ennio Morricone,Con Estrema Dolcezza,Unknown,,
Broadcast,I Found The End,Unknown,,
Gianni Gebbia,Zurbaran,Unknown,,
Polysick,A3,Unknown,,
Savvas Metaxas,Magnetic Loops III,Unknown,,
Dj Semitone,Sunset Music 2,Unknown,,
020baby,Synethnausea,Unknown,,
Nine Inch Nails,A Warm Place,Unknown,,
Sensorica Vs Jin Key,Only One,Unknown,,
Deadmau5,Monophobia,Unknown,,
"Chicane, Disco Citizens",Sunstroke (Disco Citizens (On The Train Remix)),Unknown,,
Daniel.Mp3,3 Am Walk (Slowed & Reverb Version),Unknown,,
Madonna,Skin,Unknown,,
VilloVilduVeta,Paradise Hotel,Unknown,,
Dominic Plaza,Sounds Rushing (Original Mix),Unknown,,
Salem,Sunrise,Unknown,,
Skunk Anansie,Brazen 'Weep',Unknown,,
Hole In One,Spiritual Ideas For Virtual Reality,Unknown,,
Dennis Ferrer X Jerome Syndenham,Sandcastles (Afterlife Mix),Unknown,,
The Source Experience,Point Zero,Unknown,,
"Sunlounger, Zara",Lost (Chill Out Mix),Unknown,,
Torus,Enter The Sun,Unknown,,
Lokey,Inverse [dnbless],Unknown,,
"Vince Watson, Loudeast, Nacho Marco",Bubbles (Loudeast Dirty Remix),Unknown,,
Medway,Resurrection (Ambient Dub Mix),Unknown,,
Sqvid,Emprisoning Sound On A Piece Of Wax (Original Mix),Unknown,,
Friendzone,!!-Major,Unknown,,
"Ridgewalkers, El",Find (Original Mix),Unknown,,
Reload,The Enlightenment,Unknown,,
"Three Drives On A Vinyl, Moonwatcher",Greece 2000 (Moonwatchers Remix),Unknown,,
"Three Drives, Man With No Name",Greece 2000 (Man With No Name Remix),Unknown,,
Eric Prydz,Pjanoo (Club Mix),Unknown,,
D. Edwards,I Love Sloane,Unknown,,
Oliver Coates,One Without,Unknown,,
Morton Feldman,Rothko Chapel,Unknown,,
Jura,Measures Of Its Own,Unknown,,
Great Area,Shipping,Unknown,,
Excepter,On Highway One,Unknown,,
The Angelic Process,The Promise Of Snakes,Unknown,,
Paul Haslinger,Our Endless Summer,Unknown,,
Madonna,Hollywood,Unknown,,
Deadmau5,Strobe,Unknown,,
Antent,Your Eyes,Unknown,,
Wulven,doomgaze socialism,Unknown,,
Cotton Mouth,Unborn,Unknown,,
Ethel Cain,Televangelism,Unknown,,
Paul van Dyk,Introjection,Unknown,,
Gigi Masin,Call Me,Unknown,,
Matvey Emerson,Prizma (Ambient),Unknown,,
7038634357,Focus,Unknown,,
Andy Duguid,Don’t Belong,Unknown,,
bvdub,Tatttered Wings Still Fly,Unknown,,
Soho,Flyin' Madness (Club Mix),Unknown,,
Varg2tm,A Weak Heart To Break,Unknown,,
Evian Christ,Ultra,Unknown,,
Vince Watson,Rendez-Vous,Unknown,,
Windowseeker,Wish U,Unknown,,
"Usual Aspect, The Thrillseekers, Steve Helstrip",Mr Blue (The Thrillseekers Remix),Unknown,,
Malibu,The Things That Fade,Unknown,,
"Fu Man Choo, Praha",Outlaw (Praha Remix),Unknown,,
T0ni,Trust Goes Both Ways,Unknown,,
Salt Tank,Pacific Diva,Unknown,,
David Granström,Sapphirevisions,Unknown,,
You’ll Never Get To Heaven,Closer,Unknown,,
Bladee,Uriel Outro,Unknown,,
Sonorous,Protonic (Original Mix),Unknown,,
16120world/Life_adversity,</3,Unknown,,
"Cygnus X, Rank 1",Superstring (Rank 1 Remix),Unknown,,
Cygnus X,Positron (2002 Vocal Version),Unknown,,
Cygnus X,Superstring (Live At Sensation),Unknown,,
"Cygnus X, Rank 1",Superstring (Rank 1's Deep Dub),Unknown,,
"Above & Beyond, OceanLab",Satellite (Radio Edit),Unknown,,
"Model 500, Echospace",Starlight (Echospace Dub),Unknown,,
Sasha,Healer,Unknown,,
Karman,Evolutionary Demise Of Man Part I & II,Unknown,,
