Artist,Title,Found on Spotify?,Spotify URI,Corrections
Gaia,Empire Of Hearts (Original Mix),Yes,spotify:track:6pV8uZr4fMC24WdAJlezZW,
Evian Christ,The Beach,Yes,spotify:track:74MrkICU9XLNrRzdycgFrM,
Malibu,Unknown Track,Yes,,
Markus Schulz,The New World,Yes,spotify:track:0H5WE0eOpG72APxRio3G1z,
Arome,Visions Of Paradize,Yes,,
"Oklou, Casey MQ",Everlasting,Yes,spotify:track:5SA4v99TFAHEk7va8mqNai,
Marco V,Simulated,Yes,spotify:track:57l64z39EOEvAHFqJexIdF,
Moritz von Oswald,Silencio,Yes,spotify:track:1qFi5vw7f2P9vzK8CJ0Y4i,
Torus,Anything Your Heart Desires,Yes,,
Malibu,8149,Yes,,
Serious Danger,Battle Plate,Yes,spotify:track:2gKuNeJIegFrlEqhzRSh31,
Veracocha,Carte Blanche (Magdelayna’s Chilled Resurrection),Yes,,
"Starsplash, Peter Luts",Free (Peter Luts Remix),Yes,,
Malibu,Unknown Track,Yes,,
Malibu,Unknown Track,Yes,,
Goldie,Timeless,Yes,spotify:track:7AvrJG89s3bVBWNqaLa8Le,
Lost Tribe,Red Skin (Original 1993 Mix),Yes,spotify:track:1d83VBUZK1s0pRVaSD1qqY,
Estuera,City Lights,Yes,spotify:track:2oXQBfPfYdDiuVTBrtFONp,
Malibu + Merely,Unknown Track,Yes,,
Pat16120,Denialllllllllllllllllllll,Yes,,
Bino’s Bin,Same Stories (Bonus Edit),Yes,,
Jamesjamesjames,Triple Speed Francesco,Yes,,
Pat16120,X-P,Yes,,
Lords Of Tranz,Trancestores (Remix),Yes,spotify:track:7zf5mjjyqfGe8FA4ZjUBIe,
"Ocean Drive, DJ Oriska",Because (Extended),Yes,,
"Gg12, 500",Soul Fly,Yes,,
Daft Punk,Digital Love,Yes,spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym,
36,So Distant,Yes,spotify:track:5xIhO9oOHhfVyr1HzNR7Ss,
36,Beyond The Hyperreal,Yes,spotify:track:1SMj1n8YGXWMnEfmwUPgRl,
Ive Peralta & Alex Compton,Nazaré,Yes,,
Malibu + Merely,Unknown Track,Yes,,
Above & Beyond,Tri-State,Yes,spotify:track:35TLjgolZVn4NlnaMyWh3p,
Vince Watson,Lunar Visions,Yes,spotify:track:3lqBSBCR4sgYUcjeG0HCzv,
Mike Shiver,Ahh (Club Mix),Yes,spotify:track:2lzhAlN3JX8JhXgg9c6zYA,
Eurohead,Where Do We Go,Yes,spotify:track:6Zun2x70G4dVoESZJwhYKe,
Oceanlab Vs Mike Shiver,If I Could Fly On The Surface (Daniel Kandi Mashup),Yes,,
Malibu,Iliad (ESP Remix),Yes,,
Paradisio,Bailando,Yes,spotify:track:6PwbVXIomkvk4YcafiOc6i,
Inna,Hot,Yes,spotify:track:7F1lHcpnTycnimQrCxDFI5,
Su Tissue,2nd Movement,Yes,,
Judee Sill & David Allred,The Lost Page (From Judee’s Journal),Yes,spotify:track:163iOJGBGBWY7LRQNCfGnx,
Algebra Suicide,Tractor Pull,Yes,spotify:track:7sfiRt1BeEcnSSnziY4Heq,
Pino Donaggio,Telescope,Yes,,
Pinky Rose,Weak-End (Lainey Wilson),Yes,,
Strawberry Switchblade,Trees And Flowers (Extended Mix),Yes,spotify:track:5mfVFjhICWH1HM8SO0Q4WV,
Morgan Wallen,I Guess,Yes,,
Angelo Badalamenti,Mr. Roque / Betty's Theme,Yes,,
The Future Sound Of London,Max,Yes,spotify:track:4jXkjKMOJYi4BUMBM86m9Y,
